Epoch,AverageEpRet,MaxEpRet,MinEpRet,AverageEpCost1,MaxEpCost1,MinEpCost1,AverageEpCost2,MaxEpCost2,MinEpCost2,CumulativeCost1,CumulativeCost2,CostRate1,CostRate2,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC1,StdLossQC1,MaxLossQC1,MinLossQC1,AverageLossQC2,StdLossQC2,MaxLossQC2,MinLossQC2,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
16,-162209520,-56961176.25,-724202707.6,1987,31616.22121,185.3630386,10393.953,10393.953,10393.953,218078,901156.7,12828.11765,53009.21691,63627972,7808804.5,89120450,46290984,1.22575E+12,2.12349E+12,1.16851E+13,1.61576E+11,2230.9155,3580.725,17239.844,431.12375,161362.1,63184.77,447722.9,78516.88,-254.8536,8.90705,-235.75705,-277.94785,167.3568156
17,-171377620,-59747596.1,-731323830.3,910,30451.08335,84.89198045,1775.6161,1775.6161,1775.6161,224989,902932.3,12499.38889,50162.90625,67061560,8205161,93354620,48336196,9.13911E+11,1.43792E+12,1.03809E+13,1.58724E+11,2060.5935,3246.0002,24416.598,421.60776,157119.44,67241.52,547606.8,84656.1,-263.2327,6.9252124,-248.82465,-284.2839,179.7051828
18,-201003680,-62365056.84,-760452663.9,652,30105.22662,60.82370467,43733.78,43733.78,43733.78,232397,946666.06,12231.42105,49824.52961,73543800,10339016,103826300,49608280,1.26839E+12,2.2998E+12,1.96686E+13,1.5548E+11,2456.4863,3759.3975,27370.574,402.2364,167744.9,91904.17,689124.9,75541.77,-276.31598,7.1693916,-256.42035,-293.01852,191.8457246
19,-248420820,-64512462.09,-808722010.9,629,29994.65014,58.67808319,113741.914,113741.914,113741.914,240529,1060408,12026.45,53020.4,79543290,12681574,126158660,53586788,1.48492E+12,2.32185E+12,1.48381E+13,1.85431E+11,2310.0012,3174.1414,21140.236,391.35504,177375,103343.29,732952.1,85737.35,-286.3569,6.522219,-267.0021,-308.5369,203.0948219
20,-162423570,-68298097.9,-713572656,469,29747.35301,43.75202069,1219.4551,1219.4551,1219.4551,246802,1061627.5,11752.47619,50553.69048,76122390,11508138,110649670,50021400,1.23484E+12,1.85007E+12,9.46201E+12,1.89392E+11,2085.1008,2456.672,11741.049,455.59467,160683.94,62568.605,646170.75,87180.09,-286.40906,6.749314,-269.4471,-306.55536,215.7608776
21,-174895660,-68727298.94,-724299888.5,769,29960.33434,71.73838787,1346.9772,1346.9772,1346.9772,254223,1062974.4,11555.59091,48317.01705,74929830,11731421,112023700,50321256,1.37613E+12,2.06519E+12,1.20494E+13,2.21907E+11,2107.996,2651.6233,17532.432,430.7595,179086.05,117800.8,950851.44,86499.734,-286.1938,7.9710264,-267.81604,-312.00726,227.880302
22,-182345820,-69088023.4,-729641445.8,359,29463.59324,33.49035273,1633.3574,1633.3574,1633.3574,262274,1064607.8,11403.21739,46287.29348,79909480,14354359,121767064,50759310,1.64948E+12,2.33641E+12,1.09609E+13,2.31774E+11,2483.063,3144.6597,16861.475,429.21954,204821.64,151906.23,1109395.4,94281.54,-298.09985,6.5606413,-277.9825,-311.99124,240.0020797
23,-202528670,-71733389.23,-748685035.8,2727.8431,31745.97193,254.4747287,29390.299,29390.299,29390.299,270755,1093998.1,11281.45833,45583.25521,75266980,13596777,122362680,51183284,1.42548E+12,1.90452E+12,1.02814E+13,2.20896E+11,2417.4568,2575.1902,15464.038,618.1395,204452.44,145142.39,1227627,70108.93,-303.93143,7.3956747,-282.10977,-330.32275,251.8895347
24,-162250900,-73540668.78,-702741361.8,701,29632.94022,65.39481131,2000.9508,2000.9508,2000.9508,277068,1095999,11082.72,43839.96,67319600,12300383,122089170,47335230,1.39679E+12,1.83474E+12,1.04235E+13,2.20787E+11,2818.238,2726.9524,14870.12,761.68225,228680.2,155233.9,1289662.6,100549.48,-324.59695,29.411789,-286.81372,-393.08847,264.5003235
25,-169083310,-75916342.25,-707458407,690,29536.02654,64.36864451,7851.1865,7851.1865,7851.1865,283602,1103850.2,10907.76923,42455.77885,64829080,12176864,103815550,49547990,1.20121E+12,1.71961E+12,8.38378E+12,2.25943E+11,2813.5513,2254.9338,15051.954,895.364,249346.52,160987.55,1547741.2,111978.984,-371.17212,20.711285,-327.2175,-424.67566,276.6652572
26,-161173380,-77437830.66,-696339219.7,648,29408.3869,60.45055311,1396.5531,1396.5531,1396.5531,289843,1105246.8,10734.92593,40935.06481,58950836,8103309.5,100889550,50497596,1.5167E+12,2.13606E+12,1.21755E+13,2.70408E+11,3589.6472,2931.607,17500.424,1283.1465,313094.5,209658.9,1697332.1,133211.69,-325.1017,20.268696,-273.0446,-368.12756,289.5182567
27,-200729440,-74507113.55,-736263148.1,337,29012.02043,31.43801913,30119.428,30119.428,30119.428,298311,1135366.2,10653.96429,40548.79464,57275776,6054727.5,92576610,50960064,1.40559E+12,1.93678E+12,1.38678E+13,2.21885E+11,3588.475,2615.4578,18145.719,1239.1494,416379.25,256504.88,1609004.2,175048.1,-298.50214,17.116,-248.97614,-340.83438,301.0919995
28,-156200910,-78355964.12,-685801711.1,1342,29931.92627,125.1923492,4262.426,4262.426,4262.426,303973,1139628.6,10481.82759,39297.53879,59404236,7939534,100059064,50296644,1.46927E+12,2.01049E+12,9.74211E+12,1.98355E+11,3752.8171,2759.1182,13034.319,1198.8542,596472.56,397451.6,2649896.2,181196.8,-340.82138,88.14113,-234.09424,-539.7494,313.6490946
29,-166589230,-78822964.05,-694393588.8,2215.07242,30720.17596,206.6394336,1309.7987,1309.7987,1309.7987,310685,1140938.4,10356.16667,38031.27917,58313570,8426657,121779880,49855960,1.42692E+12,2.04878E+12,1.13816E+13,2.09131E+11,3643.676,2926.416,14521.291,630.4957,520738.4,275269.16,1961825.2,225956.25,-367.5127,32.649254,-282.83185,-456.08643,325.9513664
30,-193643950,-78262523.2,-720916127.3,61734.63,90155.18137,5759.09341,1646.1366,1646.1366,1646.1366,319800,1142584.6,10316.12903,36857.56855,56526960,5720295,81810520,49595190,1.73347E+12,2.25267E+12,1.2191E+13,2.74816E+11,5180.482,9120.327,82017.84,709.2512,560078.4,293737.97,2368935.2,156287.48,-283.06668,29.150747,-225.45602,-349.674,337.7874601
31,-189281220,-76113624.15,-713674904.8,2513.919,30850.18791,234.5182007,19804.594,19804.594,19804.594,327714,1162389.1,10241.0625,36324.66016,55862436,5981648,88241820,49027696,1.30671E+12,1.83297E+12,9.77072E+12,2.12329E+11,4396.861,7791.108,54127.875,717.7561,464889.9,270311.03,2008510.6,159513.42,-225.71413,16.71873,-175.44435,-263.20444,349.5369031
32,-207834260,-75105781.9,-731082836.9,4589.6908,32841.9461,428.1625732,27510.31,27510.31,27510.31,336821,1189899.5,10206.69697,36057.56061,55867428,5246419,80701230,49472070,1.36377E+12,1.76293E+12,9.19788E+12,2.1284E+11,4814.5605,10071.421,77423.85,584.99243,516913.38,354587.84,2849243,180032.27,-192.22491,9.873665,-171.91968,-215.11978,361.4832597
33,-223368960,-74847768.96,-745258416.5,3888.3432,32056.85287,362.7353351,23016.346,23016.346,23016.346,347659,1212915.9,10225.26471,35673.99632,56400350,5036294,81886696,48588810,1.31162E+12,1.88892E+12,1.02306E+13,2.39735E+11,7397.26,17662.457,146871.2,588.38354,419718.47,225153.84,2118282.2,164897.33,-188.47752,8.974586,-170.84238,-211.30283,373.2162676
34,-197317940,-75352911.63,-714738263.4,2493.07712,30578.10829,232.5739056,9556.894,9556.894,9556.894,356777,1222472.8,10193.62857,34927.79286,57646268,7037265.5,117280590,49420184,1.37583E+12,1.89224E+12,1.14905E+13,2.07007E+11,5495.9663,12771.749,91792.26,509.3996,527470.9,368603.88,2936563.8,176636.94,-172.21825,10.43522,-154.83344,-202.20192,383.8319516
35,-223206290,-73273199.33,-740069993,5021.7705,33023.58945,468.470377,1347.635,1347.635,1347.635,368767,1223820.4,10243.52778,33995.01042,58593004,6357438.5,82823550,50481600,1.3116E+12,1.54271E+12,8.59344E+12,2.20625E+11,5083.3794,9263.675,81908.734,456.05164,536492.25,450512.47,4537678.5,190225.08,-173.3267,11.167665,-147.80367,-198.25322,395.7250404
36,-179873870,-74133964.85,-690995761.4,4353.26553,32272.13768,406.1069585,7474.064,7474.064,7474.064,376366,1231294.4,10172.05405,33278.22635,60051696,9170627,117082450,49872212,1.19156E+12,1.60233E+12,1.04538E+13,2.06488E+11,4867.355,10154.414,87901.95,496.54865,577499.94,382384.4,2260829.2,178895.53,-183.68298,20.68367,-154.4513,-236.00203,407.0105858
37,-170373460,-73679651.23,-678306287.7,24448.732,52284.92195,2280.770636,1088.1361,1088.1361,1088.1361,383516,1232382.5,10092.52632,32431.11842,58853236,7476022.5,97046580,46982224,1.15596E+12,1.52466E+12,1.04811E+13,2.70605E+11,5629.891,10562.053,67127.15,597.8699,718510.06,513705.84,3853855.2,155311.56,-214.79062,16.884115,-169.25279,-250.681,418.6097462
38,-164347470,-72581858.71,-669364437.3,7430.129,35183.90048,693.1410613,2694.3887,2694.3887,2694.3887,389922,1235076.9,9998,31668.63782,60192440,9343833,115071730,47602990,1.34793E+12,1.69787E+12,1.18047E+13,2.15634E+11,5615.5327,10247.207,87261.9,785.33997,718196.94,488581.7,2887414.2,142504.97,-248.89581,15.1039,-201.43893,-284.62558,429.3932357
39,-142905020,-71193135.93,-643860795.2,1035,28706.61591,96.55296677,392.47772,392.47772,392.47772,394443,1235469.4,9861.075,30886.73438,62771620,10531660,104033820,51522044,1.28848E+12,1.64051E+12,8.25134E+12,2.27083E+11,5580.234,9534.207,64401.367,571.48975,832078.94,655246.9,3746529,167321.11,-255.91219,9.586942,-226.88278,-284.44464,440.9705148
40,-162116460,-70124702.44,-662075846.8,729,28318.7224,68.00687225,16881.602,16881.602,16881.602,399829,1252351,9751.926829,30545.14634,69044470,11613107,109494460,49648824,1.31189E+12,1.7978E+12,1.01883E+13,2.08134E+11,5522.4126,9314.513,55690.684,570.4212,588758.3,567551.1,3527658.8,130158.88,-271.78748,11.053764,-237.39842,-305.35727,451.7335093
41,-166805470,-68533769.95,-664690145.8,972,28480.09011,90.67582966,110.33707,110.33707,110.33707,406695,1252461.4,9683.214286,29820.50893,64896572,9928130,109504376,50765716,9.57118E+11,1.22363E+12,6.92314E+12,1.65981E+11,3534.807,5679.006,45052.375,556.60815,547042.6,545097.1,3087791.8,68311.47,-268.35266,9.623733,-245.09195,-291.2459,463.1429019
42,-163709490,-68015082.59,-658946971.1,832,28258.71821,77.61552498,207.35274,207.35274,207.35274,413220,1252668.8,9609.767442,29131.8314,59499930,7758843,90937400,48635570,1.29516E+12,1.71875E+12,1.31797E+13,2.572E+11,3277.9875,4418.754,41728.36,430.54977,455324.88,442910.47,2802647.2,58847.33,-248.00934,9.9657545,-222.97983,-272.6879,474.0818744
43,-167711420,-65354347.9,-660846686.1,640,27985.60587,59.70424998,6147.5234,6147.5234,6147.5234,419429,1258816.2,9532.477273,28609.46023,54271850,5277321.5,79360470,47578348,1.12033E+12,1.53638E+12,8.54452E+12,2.24242E+11,3748.7139,5381.328,39337.02,464.72495,544978.1,630372.1,5717104,51134.805,-220.41301,14.432534,-179.17874,-252.65135,485.2302899
44,-156402320,-64260186.74,-646297654.1,1254,28518.75226,116.9830148,65.70483,65.70483,65.70483,425195,1258881.9,9448.777778,27975.15278,51405836,3650972.8,66217988,44824308,1.32228E+12,1.54938E+12,7.7555E+12,1.99538E+11,3196.4722,4068.69,33448.72,497.76843,321351.8,284551.47,1526270.9,33161.85,-191.20566,10.760377,-162.44734,-224.17816,496.7284701
